# PUBG recoil patterns_db - generated by bake_pubg_patterns.py
# Format: #KEY weapon|muzzle|lower|stock / #RPM n / dx,dy lines / #END

#KEY P18C|bare|bare|bare
#RPM 750
#KEY Skorpion|bare|bare|bare
#RPM 850
1.53,9.42
1.69,6.28
-4.1,4.03
4.34,5.47
-5.31,7.09
-1.53,6.2
2.82,10.87
-3.71,5.63
9.18,10.07
-3.86,12.23
-1.45,7.89
-2.26,18.52
-0.32,6.84
3.46,13.37
-5.39,14.01
1.85,11.67
5.07,18.27
1.94,11.68
-0.49,13.93
-2.65,14.17
-3.06,12.8
-0.97,16.98
-7.41,10.55
3.63,16.91
1.37,17.39
#END

#KEY Skorpion|bare|laser|bare
#RPM 850
-0.914,11.65
-3.427,6.17
4.569,3.89
4.341,7.31
-0.457,7.77
3.883,5.71
3.2,8.45
0.23,8.68
5.25,10.74
-0.23,10.74
2.75,8.22
-0.23,13.71
-7.54,10.05
0.0,13.02
-7.542,14.85
-0.457,12.11
-3.198,17.14
-1.599,11.19
2.741,15.08
-3.427,13.48
-3.427,13.02
0.457,16.45
3.199,10.51
5.254,14.39
#END

#KEY Skorpion|bare|half|bare
#RPM 850
2.802,12.75
4.904,5.61
-2.802,10.92
-0.561,6.03
3.363,10.37
-3.503,9.8
0.0,9.11
-2.802,10.93
2.942,8.96
4.764,13.45
-5.044,9.53
5.744,9.1
-3.923,15.69
-2.101,11.91
6.304,15.27
-0.56,12.33
2.662,11.91
-0.561,16.81
1.541,7.85
3.783,14.57
-10.647,12.75
4.343,10.78
2.802,19.34
2.802,7.0
#END

#KEY Skorpion|bare|light|bare
#RPM 850
4.58,7.12
-3.05,6.44
-2.88,3.39
1.52,8.47
-7.29,5.77
0.51,9.49
1.19,10.34
2.54,5.42
2.54,14.41
-1.52,9.32
2.37,13.22
-1.19,12.54
5.77,10.51
2.54,16.27
-0.34,9.15
6.95,16.28
-9.83,13.56
-1.7,11.52
-7.79,14.41
-3.9,15.42
-2.03,13.39
-6.445,16.27
-5.423,14.58
-2.543,19.49
#END

#KEY Skorpion|bare|vertical|bare
#RPM 850
0.914,7.18
-2.872,8.49
1.305,7.05
-8.617,5.87
3.656,6.14
-5.484,10.31
-2.872,3.92
4.048,12.8
-1.437,9.66
8.356,7.7
0.653,14.75
0.261,9.8
2.35,13.97
-2.741,12.14
1.958,11.49
2.481,15.4
1.436,9.4
-2.35,15.02
-7.051,12.01
-1.697,11.36
-6.006,13.19
6.137,9.01
3.133,16.97
-8.486,12.53
#END

#KEY S12K|bare|bare|bare
#RPM 600
-19.704,13.55
18.472,5.13
20.935,3.28
-32.223,6.78
-14.572,0.61
29.76,6.37
-3.489,6.36
#END

#KEY S12K|duckbill|bare|bare
#RPM 600
5.031,3.119
7.951,-0.201
8.856,-2.214
9.963,3.12
-11.272,3.723
4.63,4.126
-24.153,1.51
34.015,0.1
#END

#KEY S12K|flash_hider|bare|bare
#RPM 600
4.817,3.042
18.0,3.169
-5.324,7.733
13.563,4.31
-43.986,1.774
53.24,3.803
-37.648,11.282
21.169,1.141
#END

#KEY S12K|compensator|bare|bare
#RPM 600
-19.869,2.539
-17.627,7.022
33.463,13.295
-32.567,2.39
23.155,2.839
-7.171,3.286
9.412,2.092
-5.229,2.539
#END

#KEY S1897|bare|bare|bare
#RPM 600
12.769,0.39
17.59,2.35
-28.144,4.3
11.857,3.25
-25.669,6.65
37.135,0.0
-4.561,13.29
#END

#KEY S1897|choke|bare|bare
#RPM 600
-10.67,6.468
12.813,0.042
3.296,5.232
-17.386,7.127
-5.52,2.183
6.838,4.45
13.967,-2.348
#END

#KEY S1897|duckbill|bare|bare
#RPM 600
13.391,-0.454
11.953,2.194
-12.558,4.766
-7.49,-0.454
-1.211,4.237
4.161,4.993
-9.154,0.151
18.838,-0.227
#END

#KEY S686|bare|bare|bare
#RPM 600
10.983,5.263
-43.589,1.602
24.483,16.017
-6.407,2.288
14.988,8.237
-0.801,7.208
-20.365,4.462
-9.953,0.343
#END

#KEY S686|choke|bare|bare
#RPM 600
17.044,2.328
-0.499,6.402
-21.7,0.167
10.31,2.494
8.979,6.236
-4.739,2.162
6.236,3.409
-16.795,1.081
11.557,0.249
#END

#KEY Sawed-off|bare|bare|bare
#RPM 600
23.843,1.66
-42.064,8.33
47.27,0.52
23.735,3.54
-40.29,20.93
13.327,12.7
-15.305,8.23
#END

#KEY Sawed-off|choke|bare|bare
#RPM 600
23.877,8.72
-12.458,7.47
27.407,0.52
-49.934,4.47
34.777,6.9499
-18.997,16.2
-21.386,1.66
#END

#KEY DP-28|bare|bare|bare
#RPM 550
-1.664,20.72
-0.908,15.29
4.993,14.52
-0.303,16.19
-2.572,20.28
-2.118,24.96
-7.112,26.94
-2.421,25.72
6.809,34.35
3.48,32.53
-6.203,32.38
-1.816,31.17
-12.105,37.67
-3.631,32.53
5.144,34.96
-0.605,40.55
6.204,39.94
0.605,43.88
-14.828,42.37
-3.178,38.281
#END

#KEY M249|bare|bare|bare
#RPM 750
0.23,14.39
-0.91,7.99
0.0,7.53
-2.51,9.59
-0.69,10.95
-1.14,14.39
-1.37,16.2
-2.054,18.72
-0.229,16.21
-2.511,18.95
-0.913,15.75
-0.228,14.61
7.765,15.75
3.19,9.82
4.34,10.73
-4.57,10.5
-0.91,8.9
-0.46,10.73
-9.584,6.85
-4.109,10.5
-3.652,10.73
2.283,7.76
-0.914,10.28
-0.228,8.9
-15.523,5.48
-7.762,7.76
-2.283,9.36
-12.555,8.22
-6.62,7.99
-1.827,8.215
-14.382,14.154
-7.945,8.158
-3.551,12.106
0.565,8.717
3.632,10.008
-0.404,12.268
-3.39,9.928
-2.663,10.5905
#END

#KEY Micro UZI|bare|bare|bare
#RPM 1050
-3.99,9.01
0.0,6.65
-0.887,4.88
2.069,5.32
-5.911,7.98
-1.034,5.47
2.807,10.78
-1.034,7.25
0.591,11.37
-4.433,11.83
-0.148,10.64
-1.33,16.1
-0.443,13.01
5.763,15.22
-1.034,15.81
3.251,12.41
3.694,19.07
0.443,14.18
5.32,18.77
-1.034,18.77
6.059,13.3
2.069,21.87
1.773,15.22
2.66,17.88
-5.616,18.18
0.887,19.65
0.0,21.28
-1.034,20.54
6.797,20.1
-2.364,16.55
-2.069,18.176
-3.694,26.452
-0.444,15.073
5.32,22.609
#END

#KEY Micro UZI|compensator|bare|bare
#RPM 1050
1.055,8.18
0.791,4.22
2.769,5.8
-4.615,1.71
3.033,4.48
-3.955,5.94
-0.791,4.48
1.977,7.51
-2.9,4.88
3.691,6.86
-2.637,6.46
1.582,6.59
2.637,9.36
-5.01,6.46
3.824,10.28
-1.714,10.41
3.296,7.26
3.164,13.31
-3.296,6.07
2.241,13.84
-4.746,9.89
3.164,7.11
0.132,14.77
1.054,8.44
4.351,11.47
-2.241,14.1
6.328,5.54
1.318,19.115
-1.846,6.592
4.483,15.029
-6.196,13.711
2.504,10.546
-0.395,14.898
#END

#KEY Micro UZI|compensator|bare|uzi
#RPM 1050
0.157,10.0
-0.625,3.35
3.203,3.83
-2.5,2.03
0.703,3.75
-0.938,6.96
-3.984,2.73
0.156,5.55
-3.515,4.76
-0.079,3.75
0.079,10.0
-0.782,3.05
3.047,8.52
-1.328,6.87
4.219,4.61
-0.078,12.74
3.047,5.31
2.5,5.86
2.109,8.51
3.281,6.02
2.422,10.86
2.969,6.79
0.859,10.79
-3.515,8.51
6.718,6.88
2.5,11.246
3.907,6.563
4.765,9.453
-3.437,8.594
1.718,6.484
-3.906,12.031
-2.968,5.703
3.515,10.157
-4.453,8.125
#END

#KEY Micro UZI|flash_hider|bare|bare
#RPM 1050
0.531,9.02
-1.593,4.12
-0.265,4.37
2.388,5.84
-2.123,6.11
0.398,6.89
-2.388,8.63
-1.327,6.5
-1.326,10.88
-2.256,8.49
2.256,10.09
0.796,12.33
-1.194,8.89
3.582,14.73
-9.42,11.81
-0.133,14.6
-3.052,14.19
-1.459,12.34
-0.266,16.59
-2.786,13.0
-0.265,14.06
-2.521,16.59
-1.194,11.94
0.929,17.38
-6.767,14.2
-0.133,14.99
-0.796,18.84
0.398,13.4
5.042,16.06
-3.052,17.24
10.217,17.65
-2.919,23.883
-2.123,14.064
-1.99,20.3
#END

#KEY Micro UZI|flash_hider|bare|uzi
#RPM 1050
0.837,10.23
-3.625,2.88
2.602,4.46
-0.743,5.39
-0.372,3.63
0.093,5.2
0.0,7.25
2.696,5.21
2.045,7.25
1.394,5.58
1.301,10.41
-1.673,5.67
4.183,10.69
1.302,7.99
0.093,6.14
-0.279,13.2
-3.533,8.18
2.696,9.11
-0.372,10.69
0.558,9.48
3.068,11.62
-3.533,7.15
5.392,10.79
-0.279,12.83
2.695,8.64
2.046,14.13
-2.882,7.9
-0.651,10.877
0.0,11.526
1.209,10.69
-1.488,12.921
-5.019,8.459
5.112,12.828
-3.067,14.315
#END

#KEY Micro UZI|bare|bare|uzi
#RPM 1050
0.737,9.07
-0.793,3.96
3.797,2.33
0.34,6.23
2.38,6.41
1.133,7.93
3.061,5.04
-1.247,9.53
-1.984,6.06
0.907,3.8
-3.57,15.98
-1.7,6.23
-3.854,15.76
0.68,5.04
2.607,13.26
2.323,12.47
4.704,9.35
3.571,15.59
2.04,7.31
8.785,17.57
1.586,10.82
1.417,12.36
-0.567,12.86
-4.023,8.45
2.38,17.23
-8.444,11.22
-0.34,9.86
3.117,15.188
2.267,10.711
0.51,17.625
-6.575,13.262
6.518,12.242
-2.38,19.552
#END

#KEY Tommy Gun|bare|bare|bare
#RPM 700
-0.236,16.26
-1.65,11.32
-1.179,13.67
-2.121,15.08
3.771,14.15
4.95,18.14
-5.185,13.91
1.65,15.32
-2.122,19.09
-0.235,14.14
-1.415,27.58
-2.357,20.51
1.886,23.8
0.471,27.11
-2.121,26.63
1.65,33.0
-3.3,25.93
4.95,28.75
-0.707,32.76
4.242,25.7
4.479,31.82
-0.707,24.74
2.592,25.69
-5.421,29.94
-0.236,24.511
0.0,32.055
0.708,32.055
#END

#KEY Tommy Gun|bare|vertical|bare
#RPM 700
0.331,10.94
-0.331,8.95
-3.646,13.92
-0.332,10.61
2.652,15.57
-1.989,11.27
1.326,14.59
-1.989,13.92
2.652,14.91
0.994,16.91
-5.634,13.26
4.309,24.52
-7.955,19.56
0.994,18.89
0.0,22.21
-0.331,17.9
1.325,22.87
-4.971,25.19
0.331,18.89
-2.652,25.53
-0.331,19.55
4.64,26.85
-1.988,22.87
7.623,19.56
-3.315,28.5
0.0,20.88
4.972,23.54
#END

#KEY UMP45|bare|bare|bare
#RPM 650
1.181,12.77
2.364,10.39
2.836,15.37
2.127,14.17
4.017,16.07
-2.363,14.18
0.945,16.55
-4.017,18.67
-0.709,12.29
-0.946,18.19
-3.072,17.26
0.236,17.25
0.946,18.67
2.836,14.41
2.599,20.8
1.182,13.71
-0.473,17.01
-0.709,17.73
-3.545,14.18
-2.127,18.43
0.473,15.36
3.072,19.85
0.946,18.91
4.962,14.89
3.309,21.27
1.418,14.41
7.09,18.44
-1.655,17.25
5.2,16.3
-0.946,27.18
2.364,15.84
4.017,21.737
-5.435,20.797
1.654,18.67
#END

#KEY UMP45|bare|angled|bare
#RPM 650
-0.164,13.79
-0.985,9.2
3.284,12.15
-1.478,15.27
1.642,14.61
-1.149,17.41
-1.314,11.33
1.15,16.25
-0.821,15.44
1.313,15.76
-2.134,16.42
-1.806,13.46
0.492,19.87
-3.448,15.44
4.433,14.44
-0.656,18.72
-2.956,15.93
0.821,18.39
-0.821,16.25
2.135,18.23
-2.135,18.72
0.328,13.46
-1.149,19.87
-2.463,17.73
5.747,15.77
-1.314,22.33
2.299,15.43
0.328,19.87
-3.283,17.57
3.283,20.52
-0.164,21.68
1.971,18.057
-0.329,19.867
-2.298,19.539
#END

#KEY UMP45|compensator|bare|bare
#RPM 650
-0.13,10.1
-1.036,7.64
-2.46,9.33
1.942,10.88
-4.144,11.78
-0.777,11.53
0.518,12.04
0.648,12.17
2.331,11.79
-0.777,13.6
0.777,10.23
-0.777,12.3
-3.368,11.78
0.13,12.83
-4.015,14.24
1.943,10.1
1.683,16.97
0.907,12.95
3.885,13.72
-1.036,14.38
3.108,13.21
1.684,15.93
-3.367,10.49
2.849,16.44
0.129,13.99
3.367,11.01
2.59,18.0
0.518,12.69
4.144,14.374
0.777,13.727
0.518,10.749
-0.388,19.555
-4.274,10.619
2.072,15.411
#END

#KEY UMP45|compensator|angled|bare
#RPM 650
-0.358,12.18
1.432,8.05
-0.537,10.03
1.432,9.85
3.222,14.5
-1.611,10.56
4.834,13.96
-2.148,13.43
2.864,11.64
1.432,15.21
-4.117,9.85
0.895,12.35
-5.729,14.14
1.969,10.21
1.79,14.86
-0.537,10.92
4.118,12.53
-1.432,12.35
3.222,10.39
0.179,16.47
-2.685,10.56
3.043,13.25
-7.698,11.99
3.223,10.38
-3.76,13.61
-1.969,9.67
1.969,14.5
-4.654,13.96
0.537,11.46
-0.179,15.754
-2.686,9.667
3.402,15.575
0.179,13.964
2.506,10.384
#END

#KEY UMP45|compensator|half|bare
#RPM 650
2.43,11.49
-0.442,7.73
3.976,6.85
0.441,12.14
-1.767,8.62
2.43,10.82
-4.418,10.82
2.209,9.72
-0.883,12.59
0.662,11.49
0.442,13.25
-2.65,11.7
3.754,10.83
-0.22,13.25
-1.326,10.38
0.442,12.37
0.442,11.26
3.534,10.6
-1.546,12.15
-1.546,9.06
-1.767,14.13
-2.43,12.59
6.405,10.83
-1.767,13.25
-1.546,8.83
0.442,13.03
-3.976,10.826
1.325,10.16
-0.441,13.031
0.441,8.172
1.767,11.927
-0.441,10.16
3.092,10.381
0.221,12.369
#END

#KEY UMP45|compensator|laser|bare
#RPM 650
-1.661,10.21
0.949,7.35
-1.899,8.55
3.322,8.3
-1.661,11.15
-2.135,8.78
3.559,11.39
-3.085,10.68
1.899,9.02
-1.424,16.13
1.186,8.78
2.611,15.19
-0.238,12.34
2.848,10.2
-2.373,13.76
-2.136,10.21
4.034,14.0
-0.712,11.62
0.238,11.39
-3.56,17.8
-2.61,8.07
0.949,14.95
0.475,12.34
1.898,13.52
0.949,13.77
1.187,11.86
0.949,15.66
-4.746,11.63
4.509,12.811
-0.238,15.187
0.712,12.101
0.475,14.712
-5.458,13.288
3.559,11.39
#END

#KEY UMP45|compensator|light|bare
#RPM 650
-2.452,7.85
-0.491,6.86
1.472,10.06
0.735,8.34
3.188,12.5
0.736,11.53
5.886,9.32
-1.226,12.5
4.169,10.06
2.942,13.49
-7.602,10.54
4.905,13.0
-0.491,12.26
0.981,12.26
-2.452,11.77
-2.452,12.02
0.0,11.77
-1.227,14.96
-2.207,10.05
1.226,14.72
-0.245,11.77
5.641,12.02
-3.924,14.22
0.49,8.58
-2.452,15.7
-1.962,13.49
3.924,12.01
-1.962,16.68
-0.49,9.317
0.49,15.449
1.471,12.507
1.717,13.979
1.717,16.185
1.962,10.3
#END

#KEY UMP45|compensator|thumb|bare
#RPM 650
-1.2,9.6
-0.24,7.92
-2.879,7.2
0.72,9.59
-0.96,12.24
2.159,7.2
1.68,12.71
-0.48,10.08
5.998,10.56
-1.679,13.44
0.48,9.59
1.199,12.48
-6.238,10.56
2.159,11.75
-0.959,12.24
-0.96,11.28
1.919,14.15
-2.639,9.6
5.999,14.16
-1.2,12.95
5.039,10.56
2.879,12.48
0.0,9.84
5.038,13.91
0.96,12.24
1.92,12.24
0.959,14.87
-3.359,11.28
5.039,13.435
-0.96,13.437
3.119,8.877
1.68,18.955
0.72,8.158
1.919,14.396
#END

#KEY UMP45|compensator|vertical|bare
#RPM 650
-0.598,8.81
0.0,7.18
-2.391,7.92
-0.896,7.47
2.391,11.65
-1.345,7.63
6.426,9.86
-1.046,12.4
0.149,7.47
-0.747,11.96
1.195,9.11
5.38,10.32
0.0,12.7
3.736,6.42
-1.345,15.69
-2.092,7.03
2.989,10.76
-0.748,11.5
3.139,7.62
2.241,12.56
-5.529,6.12
4.334,11.81
-5.679,10.16
0.598,7.77
1.793,14.5
-1.195,9.71
2.689,11.21
-0.149,11.8
-0.15,9.72
-1.195,14.941
-4.483,8.517
4.483,13.45
-2.092,12.104
1.046,10.311
#END

#KEY UMP45|flash_hider|bare|bare
#RPM 650
-0.458,11.69
-0.917,8.48
0.917,10.32
1.604,12.83
-1.146,16.05
-1.604,11.92
3.209,15.13
0.0,13.98
4.126,12.83
0.916,15.59
3.897,11.92
2.751,17.19
-5.501,16.04
2.521,12.15
-3.209,16.73
-1.605,13.3
-2.062,16.73
-1.834,16.96
0.229,13.98
-3.209,16.74
1.375,14.44
5.501,21.08
-5.959,17.42
3.667,15.82
-2.292,18.11
1.605,16.96
-1.605,19.02
-3.896,17.65
2.292,15.82
-3.438,22.46
1.833,15.358
2.522,20.858
0.687,17.649
3.668,19.025
#END

#KEY UMP45|flash_hider|angled|bare
#RPM 650
2.448,12.24
2.447,11.12
-0.668,10.24
4.005,13.12
-0.223,14.24
0.668,10.23
4.004,18.47
0.667,12.46
-0.222,15.12
-3.337,16.24
0.222,10.24
-1.112,18.02
-2.67,14.68
0.445,15.8
-2.669,17.79
-0.668,13.8
0.89,20.02
-1.779,13.79
7.119,17.13
-2.003,15.8
-0.222,14.68
-1.557,18.02
3.559,14.46
2.447,16.24
-2.892,18.69
1.557,14.01
-3.782,20.03
-2.224,14.23
3.114,18.25
-0.667,18.02
-0.89,15.792
-1.557,19.355
0.222,12.903
5.784,17.576
#END

#KEY UMP45|flash_hider|half|bare
#RPM 650
-1.159,11.98
-2.126,6.96
0.966,9.86
-1.546,11.4
3.092,11.6
0.194,14.1
-1.74,10.25
1.16,13.72
-6.184,13.14
1.546,11.4
-3.092,14.11
-2.899,11.4
0.386,17.01
-5.797,12.94
5.604,11.41
-2.126,16.04
0.967,11.01
1.546,16.43
1.159,13.33
3.285,12.57
-2.705,16.42
-0.387,10.82
1.16,17.98
-5.411,14.1
4.445,14.89
-0.387,16.04
1.933,11.59
2.319,19.91
-0.773,14.88
2.705,15.651
2.513,17.393
2.319,15.267
2.319,16.041
-2.319,14.3
#END

#KEY UMP45|flash_hider|laser|bare
#RPM 650
-0.214,11.57
-2.356,11.14
2.785,10.07
2.784,14.99
-3.856,15.22
0.215,12.85
0.642,13.71
-0.214,12.42
6.213,15.43
-1.928,15.21
0.642,12.43
-2.57,18.63
-3.428,9.64
2.785,18.21
-6.427,16.93
1.928,12.64
-3.428,18.21
-2.142,11.78
0.214,16.92
-4.927,15.0
4.713,14.14
1.071,17.35
2.571,10.5
3.642,18.64
-2.571,14.99
5.999,13.71
-0.215,18.0
0.429,11.78
0.0,18.0
-4.071,16.49
4.713,14.14
-2.142,21.21
3.642,12.64
2.142,20.56
#END

#KEY UMP45|flash_hider|light|bare
#RPM 650
-3.877,7.76
0.597,8.35
2.385,12.22
-0.596,11.04
0.298,13.71
-1.789,13.72
-2.087,12.53
-0.299,18.19
2.088,11.03
2.087,17.59
-2.385,15.21
0.596,14.31
-1.491,20.28
-1.789,11.93
5.367,17.0
-0.894,16.1
5.069,14.91
1.193,16.1
-3.578,12.83
4.174,19.08
-5.069,14.61
1.789,12.82
1.491,17.9
0.895,13.12
0.894,17.89
-3.28,17.29
3.877,13.72
-0.298,20.28
-2.386,11.93
2.982,19.38
-7.157,17.3
2.088,16.1
-2.684,18.79
-1.491,13.41
#END

#KEY UMP45|flash_hider|thumb|bare
#RPM 650
0.555,11.66
-1.11,10.82
2.22,8.05
0.555,11.66
-1.388,12.21
1.388,12.21
-4.163,14.99
-0.555,12.21
6.383,16.66
-0.555,11.93
1.665,12.77
-3.885,17.2
-1.11,12.22
1.387,15.26
-1.665,14.16
3.053,15.26
-3.885,16.1
0.0,12.21
-0.556,15.26
-1.942,14.99
4.163,14.71
-2.498,16.1
3.33,11.1
2.221,19.71
1.665,12.49
4.163,14.98
0.833,16.38
4.163,13.32
1.943,17.208
1.387,15.542
5.551,14.987
-2.775,14.987
1.388,15.265
-1.943,17.763
#END

#KEY UMP45|flash_hider|vertical|bare
#RPM 650
0.18,9.17
0.18,9.17
-0.18,8.45
2.696,10.78
-4.134,12.59
-0.54,11.32
3.236,15.28
0.719,11.87
0.54,12.94
-3.416,15.46
5.034,12.23
1.977,15.28
-3.236,11.15
3.596,13.66
-0.899,14.74
0.719,12.04
0.359,13.31
-3.415,11.68
3.955,14.2
-0.18,14.93
3.775,9.7
0.719,17.8
-3.955,10.61
3.416,14.02
0.539,13.84
0.899,12.23
2.876,16.0
-0.898,10.96
2.876,13.845
-5.753,13.124
3.775,10.427
0.18,16.898
-2.337,10.427
2.337,14.202
#END

#KEY UMP45|bare|half|bare
#RPM 650
3.809,12.7
-0.424,11.42
-1.269,9.31
0.423,14.39
-0.846,12.7
3.808,13.54
-0.846,14.82
3.386,11.42
-1.27,17.35
-2.116,11.85
3.809,15.24
-2.116,16.93
4.232,13.54
2.963,16.51
-5.925,14.81
0.423,14.81
-3.809,17.35
2.116,12.28
-2.116,22.43
-5.502,13.54
2.963,16.51
-2.54,19.04
2.963,14.39
2.539,19.47
-2.539,13.54
0.423,18.62
-0.423,18.2
2.962,14.39
2.963,15.66
-2.116,16.081
2.116,19.045
-5.079,19.468
5.079,14.389
0.0,19.891
#END

#KEY UMP45|bare|laser|bare
#RPM 650
-2.028,12.84
1.352,9.12
0.676,13.52
0.338,10.81
-2.028,14.87
-1.351,15.55
6.082,11.82
0.338,17.57
-4.055,11.83
2.028,18.25
-1.69,18.25
3.041,14.19
3.38,19.94
0.0,13.52
4.393,17.23
0.675,17.57
-0.337,15.88
-1.014,19.27
-3.379,13.51
2.703,24.0
-6.083,17.23
1.69,15.54
-4.393,21.63
-2.703,15.55
-2.028,20.27
-2.703,19.94
5.068,17.57
0.676,23.65
3.717,16.23
4.393,24.33
1.352,22.299
3.717,19.599
-0.338,28.724
#END

#KEY UMP45|bare|light|bare
#RPM 650
0.97,8.41
2.589,10.04
0.971,11.97
0.324,13.92
2.912,14.88
1.295,14.89
3.883,17.15
-1.941,17.48
4.854,13.26
0.0,19.42
-1.294,13.59
-0.324,16.83
-2.265,18.45
1.294,13.92
1.618,20.38
-0.971,12.62
7.12,17.8
1.295,16.19
3.883,17.47
0.647,19.42
0.0,16.83
3.236,18.44
-3.559,18.13
2.265,19.74
0.324,20.06
1.294,15.54
-0.647,24.27
-2.913,21.03
4.855,18.13
0.0,24.267
-2.913,15.858
0.324,22.653
-3.884,19.094
#END

#KEY UMP45|bare|thumb|bare
#RPM 650
4.703,11.91
-2.822,8.47
5.958,11.91
0.313,15.05
-1.254,10.67
-1.568,16.3
-3.762,14.42
0.313,13.8
-5.644,18.19
-1.568,11.29
0.0,17.55
-5.33,12.55
1.881,13.79
-4.076,17.88
2.195,12.54
2.508,18.19
-5.33,14.42
-1.255,17.25
4.704,17.24
0.627,14.42
4.076,21.01
-1.881,15.37
1.881,15.68
-4.076,19.44
-2.195,14.11
0.314,18.5
1.254,16.93
1.881,17.56
-4.076,20.07
0.627,15.67
-1.568,22.58
-3.135,16.305
8.779,16.932
-4.389,23.204
#END

#KEY UMP45|bare|vertical|bare
#RPM 650
2.792,8.66
-0.28,10.05
1.117,10.32
4.466,12.57
1.396,12.0
3.907,11.16
0.838,15.08
0.0,12.0
0.279,14.79
-3.35,13.12
4.746,12.84
-0.559,17.87
3.071,12.28
1.954,15.07
1.116,16.75
4.466,13.12
0.0,18.42
1.117,14.24
1.396,16.47
-5.304,15.35
2.512,12.56
-2.791,17.86
-5.024,10.89
2.233,20.93
-5.862,13.68
1.954,16.19
-4.745,17.87
-1.396,11.44
-1.117,17.86
-3.07,15.915
4.466,15.073
-1.675,19.818
-0.558,14.515
1.396,18.423
#END

#KEY Vector|bare|bare|bare
#RPM 1080
-1.198,9.93
0.0,7.52
-1.198,7.19
6.33,12.15
-4.277,14.2
-0.684,10.77
2.053,19.34
-1.711,10.6
8.041,14.54
-7.014,18.65
8.04,6.85
3.935,24.63
-5.474,7.19
7.527,20.7
-5.132,22.24
2.566,17.28
-3.593,27.37
-7.014,13.0
7.699,24.98
-13.345,27.2
2.053,11.46
-1.71,33.36
-6.501,13.35
6.158,24.12
-16.765,29.6
7.527,14.37
-7.699,31.65
-4.619,18.82
9.068,22.58
-8.041,26.86
#END

#KEY Vector|compensator|bare|bare
#RPM 1080
-2.166,9.96
1.299,11.7
-0.649,8.45
3.032,6.5
-4.332,10.18
0.0,20.58
-5.849,8.67
2.383,9.53
-4.55,16.24
6.716,3.47
3.899,14.3
-0.65,8.66
9.965,11.27
-6.065,15.81
4.982,5.42
2.817,20.79
-4.983,9.97
3.899,14.95
-9.965,16.68
1.3,9.1
6.066,23.83
-5.633,6.49
5.416,14.52
-5.632,16.46
-0.65,12.135
-0.867,19.063
-10.398,10.832
8.015,15.814
-7.798,16.897
4.332,6.066
#END

#KEY Vector|compensator|half|bare
#RPM 1080
-1.955,9.19
0.196,5.47
-2.932,5.47
5.668,5.87
-4.3,8.59
-1.368,5.67
7.427,14.66
-3.713,5.28
